date,pancakeswap,curve,makerdao,uniswap,Compound,AAVE,sushiswap,anchor
2021-12-28,5590953490.520609,23295430273.09358,18856459978.4097,9032188335.439991,9919615937.017101,15215777935.225014,5363299167.035269,8717536071.671732
2021-12-29,5449014284.283156,22968484731.14074,17952424963.388012,8597427279.88985,9563600338.488747,14514528486.803564,5265456478.173007,8391886373.066742
2021-12-30,5483115957.086856,23037219668.977905,17427001599.023983,8357411082.951285,9107654892.630796,14021661407.682716,5122371009.685604,8451352990.234369
2021-12-31,5427373581.849572,23073479403.629898,17601219407.76353,8423690466.047481,9057764843.044436,14161129832.5323,5187070001.073873,8503470744.72859
2022-01-01,5526971269.077043,23247198884.15604,17504819114.813763,8414519600.470136,8923173969.574802,14343940145.984064,5332147028.0849905,8654590569.621803
2022-01-02,5576011814.29332,23814974559.66961,17851869605.90315,8550696035.983592,8873614267.806038,14423854112.80038,5449344518.431938,9108977518.655666
2022-01-03,5472756749.109628,23999100642.216503,18075587439.094364,8703022941.361502,8965505717.9775,14537016185.63281,5462607905.469664,9062249375.751122
2022-01-04,5471889714.778022,24149202343.820774,17881365723.10162,8671503195.979826,8847289892.475008,14321030542.056944,5546955383.621522,8970910488.956715
2022-01-05,5179895966.049144,24297993413.034683,17945554038.13958,8947654361.339977,8837615136.78017,14435007098.243317,5619040576.272191,8887220080.244453
2022-01-06,5127724493.935585,23845224982.299706,17079567904.84382,8231580901.076442,8487658471.458991,13719414948.743275,5396550208.150282,8578212996.796471
2022-01-07,4914025681.758401,23505016463.230442,16756202391.001568,7883701632.100446,8327899664.958875,13405541393.156517,5271874696.442573,8510755786.9297085
2022-01-08,4792696308.434045,23038591881.024483,16198311777.371704,7742244368.699773,8292115269.636383,13128638112.688942,5119594574.895999,8235923110.017391
2022-01-09,4871257647.786516,22703349789.572285,15939190767.767006,7716047823.489646,8098335551.179541,12749467246.520039,4935139975.555376,8192922466.872246
2022-01-10,4753400700.06192,22815463092.30758,16105927572.679768,7756655040.190923,8092170450.438035,12856858994.247551,5019416800.716172,8500896367.985691
2022-01-11,4957359987.345032,22968394479.200214,15961497782.808292,7772594593.644775,7871732332.971915,12737552801.663605,4956340925.552689,8270653392.959528
2022-01-12,5121681383.203797,23261546601.479332,16499781987.335245,7984332442.23776,8105874451.476089,13250634637.20331,5248184833.410568,8620601093.737099
2022-01-13,5003275056.87176,23454373458.688683,16985939033.241898,8034136274.353041,8270613062.673623,13594501171.726942,5480084106.5498295,9016542221.798042
2022-01-14,5080661803.956634,23436781725.395115,16631532090.596235,7919814699.13448,8006163184.39168,13151574417.594112,5378505689.459437,8908328744.414963
2022-01-15,5101657271.8307295,23382965166.46061,16835353833.83502,7977389582.993944,8096244669.82025,13199000600.770473,5523618407.194063,9097572002.36982
2022-01-16,5090978421.497384,23419705152.14636,16968604793.842203,8033267108.8260565,8184671170.2213745,13197213254.121372,5580921460.332693,9458869502.310314
2022-01-17,4933723341.33533,23355529546.380424,17078211048.25673,8082596973.149883,8159710732.082711,13234370274.601234,5611899909.818738,9459211414.04607
2022-01-18,4883987549.711204,23179400536.60104,16693599679.540318,7922470347.123145,7946903755.046963,12882009179.820583,5365314259.258926,8996437901.833858
2022-01-19,4819335001.530946,23063785655.95001,16581572919.792673,7847033917.804799,7886636608.659673,13202431764.026196,5292222723.204274,9134355465.221035
2022-01-20,4711193422.6582155,22832696493.663704,16439300268.491772,7873781240.927723,7786938526.098798,13084687512.009296,5208029931.214525,9244719871.241056
2022-01-21,4249831316.030361,22362572590.87482,16098471694.663668,7417121913.235315,7580125214.319719,12732744942.089943,5097881667.272283,9217581170.567638
2022-01-22,3978857175.141777,20747769363.131676,14621123274.895927,6708189162.178863,6882807380.730342,11788780243.793404,4603456946.525779,8552547527.990757
2022-01-23,4206615993.025045,19520067932.42234,14339468926.622742,6439092850.272354,6522055172.11175,11128025071.463058,4587026425.016822,8910403226.8567
2022-01-24,4090663181.621925,19462954457.603416,15160167486.340458,6310158367.898036,6582457136.627524,11316916250.72286,4740754769.677574,9108707710.562517
2022-01-25,4226273358.975624,18943837427.951607,14909728581.714298,6016552051.5308075,6475963024.073802,11125814295.154778,4720620492.613031,8760399652.757519
2022-01-26,4124491428.757758,19379065443.531586,15275956749.721989,6294873144.232349,6701923461.125887,11181867323.773247,4767369951.198834,8811915865.115097
2022-01-27,4196633362.843918,19452807168.102634,15737784803.041056,6169552997.641127,6696429613.959963,11472801862.205173,4759118566.689211,8819545657.887474
2022-01-28,4286755096.9993644,17302133239.788586,14771664718.80081,6323206631.2197275,6403364803.433005,11025960719.157866,5155274174.286407,8242278282.616036
2022-01-29,4298854101.74502,16825457344.699137,15405608772.439642,6528221793.1882925,6519767131.898163,11553412078.048952,5175878029.894296,7361089377.384064
2022-01-30,4207965242.165028,17121127106.010283,15610447853.902004,6578178316.128847,6628468159.380723,11727566081.133492,5245318262.830689,7088079173.513126
2022-01-31,4207423379.333287,17197457677.92848,15626766732.559101,6462757766.161037,6774425412.236973,11649058021.65868,5172619872.035915,6826994231.253732
2022-02-01,4279352959.7006,17569797132.054264,15755419913.517136,6763159299.785443,6626958939.276148,11830094713.169773,5306714995.575275,7130585074.477998
2022-02-02,4152495161.479113,18050126915.04979,16082013215.461296,6850820251.508783,6701285842.757127,12105694274.326344,4500368755.847659,7355012131.929455
2022-02-03,4280223434.547074,17859736673.99438,15651620740.036243,6788708935.498896,6591645182.683721,11720900404.741936,4340552192.498908,7133292527.905482
2022-02-04,4584548668.130157,18140571842.726517,15600445250.85157,6829446567.443335,6743956181.79858,11765425599.701313,4376113468.825192,7500847495.429735
2022-02-05,4675255833.682371,18965338164.772552,16792651270.970266,7306111123.953305,7259984283.485305,12477231130.682373,4655648176.526706,7731050825.957678
